I,token_tome,token_chv_esq,token_chv_dir,token_ingredients,token_id,token_endline,token_atr,token_for ,token_par_esq,token_par_dir,token_summon,token_echo,token_if,token_while,token_int,token_float,token_string,token_col_esq,token_col_dir,token_and,token_or,token_not,token_le,token_gr,token_eq,token_add,token_sub,token_mul,token_div,token_type_int,token_type_float,token_type_string,gtoken_end,BAR,gtoken_program,gtoken_cmd_init,gtoken_declare_sq,gtoken_cmd_sq,gtoken_operation,gtoken_assign_sq,gtoken_for_sq,gtoken_summon_sq,gtoken_echo_sq,gtoken_control,gtoken_control_struc,gtoken_block,gtoken_expression,gtoken_logic,gtoken_bool_op,gtoken_relacional,gtoken_relacional_op,gtoken_expr,gtoken_term,gtoken_factor,gtoken_id,gtoken_op_logic,gtoken_op_rel,gtoken_op_art_pr,gtoken_op_art_sc,gtoken_value,gtoken_type,BAR2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,,,,,S48,,,,S41,,,,,,S50,S51,S52,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,58,40,39,49,45,53,,,,,46,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,,,,,,R24,,,,R24,,,,,,,,,,,,,S66,S67,S68,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,106,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,,,,,R43,,,,R43,,,,,,R43,R43,R43,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,,,,,R44,,,,R44,,,,,,R44,R44,R44,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,,,S48,,,,S109,,,,,,S50,S51,S52,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,62,45,53,,,,,46,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,,,,,,R29,,,,R29,,,,,,,,,,R29,R29,,R29,R29,R29,R29,R29,S42,S44,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,47,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,,,,,,R31,,,,R31,,,,,,,,,,R31,R31,,R31,R31,R31,R31,R31,R31,R31,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,,,,,,R25,,,,R25,,,,,,,,,,R25,R25,,R25,R25,R25,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,,,,,,R28,,,,R28,,,,,,,,,,R28,R28,,R28,R28,R28,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,,,,,R41,,,,R41,,,,,,R41,R41,R41,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,,,,,R40,,,,R40,,,,,,R40,R40,R40,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,,,,,R42,,,,R42,,,,,,R42,R42,R42,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,,,,,,R22,,,,R22,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,R20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,,,,,,R6,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,,,,,,R7,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,,,,,,R8,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,,,,,,R9,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,,,,,R10,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,,,,,S48,,,S82,,,S91,S95,S104,S105,,,,,,,,,,,,,,,,,,,,BAR,,,,77,29,71,73,74,75,72,101,,,,,,,,,,79,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,,,S78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,,,,,,R19,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,,,,,,,S80,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,S48,,,,S41,,,,,,S50,S51,S52,,,,,S57,,,,,,,,,,,,BAR,,,,,,,,,,,,,,81,69,38,40,39,49,45,53,,,,,46,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,,,,,,S34,S35,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,36,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,,,,,,,,,S83,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,,,,,S48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,84,,,,,,,,,,,,,,,79,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,S85,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,,,,,S48,,,,S41,,,,,,S50,S51,S52,,,,,S57,,,,,,,,,,,,BAR,,,,,,,,,,,,,,86,69,38,40,39,49,45,53,,,,,46,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,,,,,,S87,,,,,,,,,,,,,,S34,S35,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,36,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,S88,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,BAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
